PLACE/LOCATION,,LESVOS,,CHIOS,,SAMOS,,LEROS,,KOS,,OTHER ISLANDS,,TOTAL,
,,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.
R.I.C.,,7155,3000,1599,1014,3331,648,792,860,935,816,,,13812,6338
OTHER ACCOMODATION FACILITIES,,1188,,,,,,118,120,,,,,1306,
"HELLENIC POLICE
FACILITIES",P.D.C.,93,210,,,,,,,113,500,,,206,710
,DETENTION FACILITIES,5,40,22,18,6,24,0,6,1,36,34,63,68,187
U.N.H.C.R.,,589,651,208,248,222,245,95,116,164,189,75,105,1353,1554
N.C.S.S.,,174,198,18,18,4,12,,,,,,,196,228
OTHER N.G.O.s,,98,,,,,,,,,,,,98,
MAKESHIFT CAMPS,,0,,0,,0,,0,,0,,0,,0,
MIGRANTS PRESENT ON THE ISLAND,,9302,,1847,,3563,,1005,,1213,,109,,17039,
ARRIVALS,,33,,0,,0,,0,,7,,0,,40,
TRANSPORTSTO THE MAINLAND,,28,,19,,2,,1,,2,,0,,52,
DEPARTURES(EU-TURKEY STATEMENT),,0,,0,,0,,0,,0,,0,,0,
DEPARTURES (1.0.M.),,0,,0,,0,,0,,0,,0,,0,
TOTAL DEPARTURES FROM THE ISLAND,,0,,0,,0,,0,,0,,0,,0,
