PLACE/LOCATION,,LESVOS,,CHIOS,,SAMOS,,LEROS,,KOS,,OTHER ISLANDS,,TOTAL,
,,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.
R.I.C.,,5035,3000,1225,1014,2457,648,562,860,771,770,,,10050,6292
OTHER ACCOMODATION FACILITIES,,1207,,,,,,60,120,,,,,1267,
"HELLENIC POLICE
FACILITIES",P.D.C.,105,210,,,,,,,69,500,,,174,710
,DETENTION FACILITIES,5,40,22,18,16,24,5,6,0,35,19,63,67,186
U.N.H.C.R.,,484,567,208,251,173,231,93,116,115,161,71,99,1144,1425
N.C.S.S.,,163,180,19,18,12,12,,,,,,,194,210
OTHER N.G.O.s,,84,,,,,,,,,,,,84,
MAKESHIFT CAMPS,,0,,0,,0,,0,,0,,0,,0,
MIGRANTS PRESENT ON THE ISLAND,,7083,,1474,,2658,,720,,955,,90,,12980,
ARRIVALS,,0,,0,,0,,0,,1,,0,,1,
TRANSPORTSTO THE MAINLAND,,1,,12,,0,,5,,0,,0,,18,
DEPARTURES(EU-TURKEY STATEMENT),,0,,0,,0,,0,,0,,0,,0,
DEPARTURES (1.0.M.),,0,,0,,0,,0,,0,,0,,0,
TOTAL DEPARTURES FROM THE ISLAND,,0,,0,,0,,0,,0,,0,,0,
