PLACE/LOCATION,,LESVOS,,CHIOS,,SAMOS,,LEROS,,KOS,,OTHER ISLANDS,,TOTAL,
,,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.
R.I.C.,,7571,3100,2060,1014,3584,648,795,860,1033,816,,,15043,6438
OTHER ACCOMODATION FACILITIES,,1211,,,,,,111,120,,,,,1322,
"HELLENIC POLICE
FACILITIES",P.D.C.,113,210,,,,,,,90,500,,,203,710
,DETENTION FACILITIES,4,40,18,18,14,24,1,6,1,36,48,63,86,187
U.N.H.C.R.,,600,681,211,244,232,240,98,116,153,189,68,105,1362,1575
N.C.S.S.,,159,168,18,18,11,12,,,,,,,188,198
OTHER N.G.O.s,,80,,,,,,,,,,,,80,
MAKESHIFT CAMPS,,0,,0,,0,,0,,0,,0,,0,
MIGRANTS PRESENT ON THE ISLAND,,9738,,2307,,3841,,1005,,1277,,116,,18284,
ARRIVALS,,0,,0,,0,,0,,10,,0,,10,
TRANSPORTSTO THE MAINLAND,,20,,54,,35,,21,,6,,0,,136,
DEPARTURES(EU-TURKEY STATEMENT),,0,,0,,0,,0,,0,,0,,0,
DEPARTURES (1.0.M.),,0,,0,,0,,0,,0,,0,,0,
TOTAL DEPARTURES FROM THE ISLAND,,0,,0,,0,,0,,0,,0,,0,
