PLACE/LOCATION,,LESVOS,,CHIOS,,SAMOS,,LEROS,,KOS,,OTHER ISLANDS,,TOTAL,
,,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.
R.I.C.,,7472,3100,1897,1014,3679,648,805,860,979,816,,,14832,6438
OTHER ACCOMODATION FACILITIES,,1161,,,,,,117,120,,,,,1278,
"HELLENIC POLICE
FACILITIES",P.D.C.,115,210,,,,,,,100,500,,,215,710
,DETENTION FACILITIES,3,40,17,18,8,24,1,6,1,36,29,68,59,192
U.N.H.C.R.,,582,681,189,248,241,240,111,116,175,189,57,105,1355,1579
N.C.S.S.,,153,168,18,18,10,12,,,,,,,181,198
OTHER N.G.O.s,,98,,,,,,,,,,,,98,
MAKESHIFT CAMPS,,0,,0,,0,,0,,0,,0,,0,
MIGRANTS PRESENT ON THE ISLAND,,9584,,2121,,3938,,1034,,1255,,86,,18018,
ARRIVALS,,0,,42,,28,,0,,51,,0,,121,
TRANSPORTSTO THE MAINLAND,,1,,7,,0,,5,,3,,3,,19,
DEPARTURES(EU-TURKEY STATEMENT),,0,,0,,0,,0,,0,,0,,0,
DEPARTURES (I.O.M.),,0,,0,,0,,0,,0,,0,,0,
TOTAL DEPARTURES FROM THE ISLAND,,0,,0,,0,,0,,0,,0,,0,
