PLACE/LOCATION,,LESVOS,,CHIOS,,SAMOS,,LEROS,,KOS,,OTHER ISLANDS,,TOTAL,
,,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.
R.I.C.,,5812,3000,1234,1014,2761,648,633,860,896,816,,,11336,6338
OTHER ACCOMODATION FACILITIES,,1217,,,,,,95,120,,,,,1312,
"HELLENIC POLICE
FACILITIES",P.D.C.,128,210,,,,,,,67,500,,,195,710
,DETENTION FACILITIES,4,40,12,18,14,24,3,6,1,35,32,63,66,186
U.N.H.C.R.,,538,599,201,259,221,235,102,116,135,161,61,99,1258,1469
N.C.S.S.,,175,180,16,18,10,10,,,,,,,201,208
OTHER N.G.O.s,,84,,,,,,,,,,,,84,
MAKESHIFT CAMPS,,0,,0,,0,,0,,0,,0,,0,
MIGRANTS PRESENT ON THE ISLAND,,7958,,1463,,3006,,833,,1099,,93,,14452,
ARRIVALS,,0,,0,,84,,0,,0,,0,,84,
TRANSPORTSTO THE MAINLAND,,80,,35,,0,,3,,0,,0,,118,
DEPARTURES (EU-TURKEY STATEMENT),,0,,0,,0,,0,,0,,0,,0,
DEPARTURES (1.0.M.),,0,,7,,0,,0,,0,,0,,7,
TOTAL DEPARTURES FROM THE ISLAND,,0,,7,,0,,0,,0,,0,,7,
