PLACE/LOCATION,,LESVOS,,CHIOS,,SAMOS,,LEROS,,KOS,,OTHER ISLANDS,,TOTAL,
,,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.
R.I.C.,,6988,3000,1475,1014,3171,648,802,860,863,816,,,13299,6338
OTHER ACCOMODATION FACILITIES,,1217,,,,,,124,120,,,,,1341,
"HELLENIC POLICE
FACILITIES",P.D.C.,104,210,,,,,,,114,500,,,218,710
,DETENTION FACILITIES,3,40,20,18,14,24,0,6,3,36,32,63,72,187
U.N.H.C.R.,,558,661,221,248,234,245,81,116,169,189,75,105,1338,1564
N.C.S.S.,,151,158,16,18,6,12,,,,,,,173,188
OTHER N.G.O.s,,337,,,,,,,,,,,,337,
MAKESHIFT CAMPS,,0,,0,,0,,0,,0,,0,,0,
MIGRANTS PRESENT ON THE ISLAND,,9358,,1732,,3425,,1007,,1149,,107,,16778,
ARRIVALS,,164,,0,,0,,0,,1,,40,,205,
TRANSPORTSTO THE MAINLAND,,0,,0,,0,,0,,2,,0,,2,
DEPARTURES(EU-TURKEY STATEMENT),,0,,0,,0,,0,,0,,0,,0,
DEPARTURES (I.O.M.),,0,,0,,0,,0,,0,,0,,0,
TOTAL DEPARTURES FROM THE ISLAND,,0,,0,,0,,0,,0,,0,,0,
