PLACE/LOCATION,,LESVOS,,CHIOS,,SAMOS,,LEROS,,KOS,,OTHER ISLANDS,,TOTAL,
,,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.
R.I.C.,,5425,3000,1191,1014,2473,648,569,860,846,816,,,10504,6338
OTHER ACCOMODATION FACILITIES,,1200,,,,,,89,120,,,,,1289,
"HELLENIC POLICE
FACILITIES",P.D.C.,124,210,,,,,,,68,500,,,192,710
,DETENTION FACILITIES,17,40,13,18,13,24,4,6,0,35,28,68,75,191
U.N.H.C.R.,,509,599,202,259,203,235,98,116,135,161,67,99,1214,1469
N.C.S.S.,,176,180,16,18,12,12,,,,,,,204,210
OTHER N.G.O.s,,84,,,,,,,,,,,,84,
MAKESHIFT CAMPS,,0,,0,,0,,0,,0,,0,,0,
MIGRANTS PRESENT ON THE ISLAND,,7535,,1422,,2701,,760,,1049,,95,,13562,
ARRIVALS,,0,,0,,0,,0,,0,,0,,0,
TRANSPORTSTO THE MAINLAND,,14,,9,,0,,0,,1,,0,,24,
DEPARTURES (EU-TURKEY STATEMENT),,0,,0,,0,,0,,0,,0,,0,
DEPARTURES (1.0.M.),,0,,0,,0,,0,,0,,0,,0,
TOTAL DEPARTURES FROM THE ISLAND,,0,,0,,0,,0,,0,,0,,0,
