PLACE/LOCATION,,LESVOS,,CHIOS,,SAMOS,,LEROS,,KOS,,OTHER ISLANDS,,TOTAL,
,,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.
R.I.C.,,6868,3000,1588,1014,2888,648,701,860,872,816,,,12917,6338
OTHER ACCOMODATION FACILITIES,,1124,,,,,,95,120,,,,,1219,
"HELLENIC POLICE
FACILITIES",P.D.C.,152,210,,,,,,,64,500,,,216,710
,DETENTION FACILITIES,10,40,18,18,5,24,3,6,1,35,25,63,62,186
U.N.H.C.R.,,525,607,209,248,239,245,98,116,141,161,67,109,1279,1486
N.C.S.S.,,173,180,19,18,8,8,,,,,,,200,206
OTHER N.G.O.s,,92,,,,,,,,,,,,92,
MAKESHIFT CAMPS,,0,,0,,0,,0,,0,,31,,31,
MIGRANTS PRESENT ON THE ISLAND,,8944,,1834,,3140,,897,,1078,,123,,16016,
ARRIVALS,,111,,26,,12,,0,,0,,102,,251,
TRANSPORTSTO THE MAINLAND,,9,,25,,1,,4,,4,,0,,43,
DEPARTURES (EU-TURKEY STATEMENT),,0,,0,,0,,0,,0,,0,,0,
DEPARTURES (1.0.M.),,0,,0,,0,,0,,0,,0,,0,
TOTAL DEPARTURES FROM THE ISLAND,,0,,0,,0,,0,,0,,0,,0,
