PLACE/LOCATION,,LESVOS,,CHIOS,,SAMOS,,LEROS,,KOS,,OTHER ISLANDS,,TOTAL,
,,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.
R.I.C.,,7407,3100,1938,1014,3568,648,753,860,1032,816,,,14698,6438
OTHER ACCOMODATION FACILITIES,,1157,,,,,,106,120,,,,,1263,
"HELLENIC POLICE
FACILITIES",P.D.C.,120,210,,,,,,,98,500,,,218,710
,DETENTION FACILITIES,1,40,37,18,14,24,5,6,1,36,36,70,94,194
U.N.H.C.R.,,609,679,216,250,206,227,99,116,150,189,65,105,1345,1566
N.C.S.S.,,160,168,17,18,11,12,,,,,,,188,198
OTHER N.G.O.s,,83,,,,,,,,,,,,83,
MAKESHIFT CAMPS,,0,,0,,0,,0,,0,,0,,0,
MIGRANTS PRESENT ON THE ISLAND,,9537,,2208,,3799,,963,,1281,,101,,17889,
ARRIVALS,,121,,0,,37,,0,,7,,0,,165,
TRANSPORTSTO THE MAINLAND,,25,,14,,0,,4,,0,,4,,47,
DEPARTURES(EU-TURKEY STATEMENT),,0,,0,,0,,0,,0,,0,,0,
DEPARTURES (I.O.M.),,0,,0,,0,,0,,0,,0,,0,
TOTAL DEPARTURES FROM THE ISLAND,,0,,0,,0,,0,,0,,0,,0,
