PLACE/LOCATION,,LESVOS,,CHIOS,,SAMOS,,LEROS,,KOS,,OTHER ISLANDS,,TOTAL,
,,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.
R.I.C.,,8779,3100,2383,1014,3995,648,708,860,1235,816,,,17100,6438
OTHER ACCOMODATION FACILITIES,,1190,,,,,,90,120,,,,,1280,
"HELLENIC POLICE
FACILITIES",P.D.C.,106,210,,,,,,,125,500,,,231,710
,DETENTION FACILITIES,1,40,15,18,7,24,4,6,0,36,29,63,56,187
U.N.H.C.R.,,590,677,221,250,205,236,90,116,154,189,60,105,1320,1573
N.C.S.S.,,144,158,16,18,11,12,,,,,,,171,188
OTHER N.G.O.s,,100,,,,,,,,,,,,100,
MAKESHIFT CAMPS,,0,,0,,0,,0,,0,,0,,0,
MIGRANTS PRESENT ON THE ISLAND,,10910,,2635,,4218,,892,,1514,,89,,20258,
ARRIVALS,,79,,21,,93,,0,,0,,0,,193,
TRANSPORTSTO THE MAINLAND,,1,,1,,0,,1,,0,,0,,3,
DEPARTURES(EU-TURKEY STATEMENT),,0,,0,,0,,0,,0,,0,,0,
DEPARTURES (1.0.M.),,0,,0,,0,,0,,10,,0,,10,
TOTAL DEPARTURES FROM THE ISLAND,,0,,0,,0,,0,,10,,0,,10,
