PLACE/LOCATION,,LESVOS,,CHIOS,,SAMOS,,LEROS,,KOS,,OTHER ISLANDS,,TOTAL,
,,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.
R.I.C.,,7343,3000,1707,1014,2915,648,814,860,855,816,,,13634,6338
OTHER ACCOMODATION FACILITIES,,1141,,,,,,120,120,,,,,1261,
"HELLENIC POLICE
FACILITIES",P.D.C.,133,210,,,,,,,121,500,,,254,710
,DETENTION FACILITIES,2,40,18,18,13,24,3,6,10,35,26,63,72,186
U.N.H.C.R.,,545,651,209,248,240,245,100,116,159,189,73,101,1326,1550
N.C.S.S.,,176,180,18,18,8,8,,,,,,,202,206
OTHER N.G.O.s,,93,,,,,,,,,,,,93,
MAKESHIFT CAMPS,,0,,0,,0,,0,,0,,0,,0,
MIGRANTS PRESENT ON THE ISLAND,,9433,,1952,,3176,,1037,,1145,,99,,16842,
ARRIVALS,,64,,94,,0,,0,,31,,0,,189,
TRANSPORTSTO THE MAINLAND,,88,,9,,6,,7,,3,,2,,115,
DEPARTURES(EU-TURKEY STATEMENT),,2,,2,,0,,1,,2,,0,,7,
DEPARTURES (1.0.M.),,0,,0,,0,,0,,0,,0,,0,
TOTAL DEPARTURES FROM THE ISLAND,,2,,2,,0,,1,,2,,0,,7,
