PLACE/LOCATION,,LESVOS,,CHIOS,,SAMOS,,LEROS,,KOS,,OTHER ISLANDS,,TOTAL,
,,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.
R.I.C.,,7558,3100,1909,1014,3618,648,802,860,969,816,,,14856,6438
OTHER ACCOMODATION FACILITIES,,1177,,,,,,117,120,,,,,1294,
"HELLENIC POLICE
FACILITIES",P.D.C.,100,210,,,,,,,104,500,,,204,710
,DETENTION FACILITIES,4,40,22,18,23,24,2,6,0,36,38,63,89,187
U.N.H.C.R.,,588,681,204,248,241,240,111,116,175,189,57,105,1376,1579
N.C.S.S.,,161,168,18,18,11,12,,,,,,,190,198
OTHER N.G.O.s,,90,,,,,,,,,,,,90,
MAKESHIFT CAMPS,,0,,0,,0,,0,,0,,0,,0,
MIGRANTS PRESENT ON THE ISLAND,,9678,,2153,,3893,,1032,,1248,,95,,18099,
ARRIVALS,,57,,0,,0,,0,,0,,0,,57,
TRANSPORTSTO THE MAINLAND,,0,,1,,0,,5,,3,,0,,9,
DEPARTURES(EU-TURKEY STATEMENT),,0,,0,,0,,0,,0,,0,,0,
DEPARTURES (1.0.M.),,0,,0,,0,,0,,2,,0,,2,
TOTAL DEPARTURES FROM THE ISLAND,,0,,0,,0,,0,,2,,0,,2,
