PLACE/LOCATION,,LESVOS,,CHIOS,,SAMOS,,LEROS,,KOS,,OTHER ISLANDS,,TOTAL,
,,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.
R.I.C.,,6818,3000,1427,1014,2891,648,630,860,864,816,,,12630,6338
OTHER ACCOMODATION FACILITIES,,1149,,,,,,95,120,,,,,1244,
"HELLENIC POLICE
FACILITIES",P.D.C.,132,210,,,,,,,69,500,,,201,710
,DETENTION FACILITIES,7,40,21,18,8,24,3,6,1,35,28,63,68,186
U.N.H.C.R.,,530,607,183,248,221,245,98,116,146,161,62,103,1240,1480
N.C.S.S.,,175,180,19,18,10,10,,,,,,,204,208
OTHER N.G.O.s,,84,,,,,,,,,,,,84,
MAKESHIFT CAMPS,,0,,0,,0,,0,,0,,0,,0,
MIGRANTS PRESENT ON THE ISLAND,,8895,,1650,,3130,,826,,1080,,90,,15671,
ARRIVALS,,90,,0,,0,,0,,0,,0,,90,
TRANSPORTSTO THE MAINLAND,,81,,5,,0,,3,,9,,0,,98,
DEPARTURES (EU-TURKEY STATEMENT),,0,,0,,0,,0,,0,,0,,0,
DEPARTURES (1.0.M.),,0,,0,,0,,0,,0,,0,,0,
TOTAL DEPARTURES FROM THE ISLAND,,0,,0,,0,,0,,0,,0,,0,
