PLACE/LOCATION,,LESVOS,,CHIOS,,SAMOS,,LEROS,,KOS,,OTHER ISLANDS,,TOTAL,
,,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.
R.I.C.,,8261,3100,2002,1014,3649,648,748,860,1130,816,,,15790,6438
OTHER ACCOMODATION FACILITIES,,1199,,,,,,90,120,,,,,1289,
"HELLENIC POLICE
FACILITIES",P.D.C.,136,210,,,,,,,90,500,,,226,710
,DETENTION FACILITIES,3,40,17,18,10,24,6,6,3,36,34,73,73,197
U.N.H.C.R.,,622,677,219,250,208,227,101,116,155,189,70,105,1375,1564
N.C.S.S.,,164,160,18,18,11,12,,,,,,,193,190
OTHER N.G.O.s,,87,,,,,,,,,,,,87,
MAKESHIFT CAMPS,,0,,0,,0,,0,,0,,0,,0,
MIGRANTS PRESENT ON THE ISLAND,,10472,,2256,,3878,,945,,1378,,104,,19033,
ARRIVALS,,147,,0,,46,,0,,22,,0,,215,
TRANSPORTSTO THE MAINLAND,,16,,1,,6,,0,,1,,1,,25,
DEPARTURES(EU-TURKEY STATEMENT),,0,,0,,0,,0,,0,,0,,0,
DEPARTURES (1.0.M.),,0,,0,,0,,0,,13,,0,,13,
TOTAL DEPARTURES FROM THE ISLAND,,0,,0,,0,,0,,13,,0,,13,
