PLACE/LOCATION,,LESVOS,,CHIOS,,SAMOS,,LEROS,,KOS,,OTHER ISLANDS,,TOTAL,
,,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.
R.I.C.,,5005,3000,1274,894,2408,700,526,880,762,772,,,9975,6246
OTHER ACCOMODATION FACILITIES,,1202,,,,,,60,120,,,,,1262,
"HELLENIC POLICE
FACILITIES",P.D.C.,107,210,,,,,,,84,500,,,191,710
,DETENTION FACILITIES,4,40,24,18,19,24,9,6,1,35,16,63,73,186
U.N.H.C.R.,,478,567,217,251,172,173,85,116,120,130,72,99,1144,1336
N.C.S.S.,,170,180,18,18,12,12,,,,,,,200,210
OTHER N.G.O.s,,84,,,,,,,,,,,,84,
MAKESHIFT CAMPS,,0,,0,,0,,0,,0,,0,,0,
MIGRANTS PRESENT ON THE ISLAND,,7050,,1533,,2611,,680,,967,,88,,12929,
ARRIVALS,,0,,0,,56,,0,,0,,0,,56,
TRANSPORTSTO THE MAINLAND,,2,,2,,0,,3,,0,,0,,7,
DEPARTURES(EU-TURKEY STATEMENT),,0,,0,,0,,0,,0,,0,,0,
DEPARTURES (1.0.M.),,0,,0,,0,,0,,0,,0,,0,
TOTAL DEPARTURES FROM THE ISLAND,,0,,0,,0,,0,,0,,0,,0,
