PLACE/LOCATION,,LESVOS,,CHIOS,,SAMOS,,LEROS,,KOS,,OTHER ISLANDS,,TOTAL,
,,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.
R.I.C.,,8044,3100,2010,1014,3568,648,756,860,1125,816,,,15503,6438
OTHER ACCOMODATION FACILITIES,,1199,,,,,,98,120,,,,,1297,
"HELLENIC POLICE
FACILITIES",P.D.C.,131,210,,,,,,,94,500,,,225,710
,DETENTION FACILITIES,6,40,23,18,12,24,4,6,1,36,29,73,75,197
U.N.H.C.R.,,619,677,215,250,228,227,103,116,163,189,70,105,1398,1564
N.C.S.S.,,164,168,17,18,11,12,,,,,,,192,198
OTHER N.G.O.s,,87,,,,,,,,,,,,87,
MAKESHIFT CAMPS,,0,,0,,0,,0,,0,,0,,0,
MIGRANTS PRESENT ON THE ISLAND,,10250,,2265,,3819,,961,,1383,,99,,18777,
ARRIVALS,,62,,0,,4,,0,,1,,0,,67,
TRANSPORTSTO THE MAINLAND,,41,,4,,69,,11,,44,,8,,177,
DEPARTURES(EU-TURKEY STATEMENT),,0,,0,,0,,0,,0,,0,,0,
DEPARTURES (1.0.M.),,0,,0,,0,,0,,0,,0,,0,
TOTAL DEPARTURES FROM THE ISLAND,,0,,0,,0,,0,,0,,0,,0,
