PLACE/LOCATION,,LESVOS,,CHIOS,,SAMOS,,LEROS,,KOS,,OTHER ISLANDS,,TOTAL,
,,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.
R.I.C.,,5468,2330,1821,894,2544,700,622,880,663,772,,,11118,5576
OTHER ACCOMODATION FACILITIES,,1131,,,,,,82,120,,,,,1213,
"HELLENIC POLICE
FACILITIES",P.D.C.,168,210,,,,,,,89,500,,,257,710
,DETENTION FACILITIES,4,40,30,18,30,24,0,6,2,35,25,63,91,186
U.N.H.C.R.,,431,532,222,249,111,143,63,109,98,140,81,87,1006,1260
N.C.S.S.,,175,180,18,18,14,14,,,,,,,207,212
OTHER N.G.O.s,,87,,,,,,,,,,,,87,
MAKESHIFT CAMPS,,0,,0,,0,,0,,0,,0,,0,
MIGRANTS PRESENT ON THE ISLAND,,7464,,2091,,2699,,767,,852,,106,,13979,
ARRIVALS,,0,,0,,0,,0,,0,,0,,0,
TRANSPORTSTO THE MAINLAND,,31,,5,,0,,0,,0,,0,,36,
DEPARTURES(EU-TURKEY STATEMENT),,0,,0,,0,,0,,0,,0,,0,
DEPARTURES (1.0.M.),,0,,0,,0,,0,,0,,0,,0,
TOTAL DEPARTURES FROM THE ISLAND,,0,,0,,0,,0,,0,,0,,0,
