PLACE/LOCATION,,LESVOS,,CHIOS,,SAMOS,,LEROS,,KOS,,OTHER ISLANDS,,TOTAL,
,,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.
R.I.C.,,7099,3000,1627,1014,3448,648,792,860,916,816,,,13882,6338
OTHER ACCOMODATION FACILITIES,,1207,,,,,,118,120,,,,,1325,
"HELLENIC POLICE
FACILITIES",P.D.C.,99,210,,,,,,,110,500,,,209,710
,DETENTION FACILITIES,2,40,25,18,8,24,0,6,1,36,36,63,72,187
U.N.H.C.R.,,601,661,212,248,236,245,95,116,164,189,75,105,1383,1564
N.C.S.S.,,177,198,18,19,5,12,,,,,,,200,229
OTHER N.G.O.s,,342,,,,,,,,,,,,342,
MAKESHIFT CAMPS,,0,,0,,0,,0,,0,,0,,0,
MIGRANTS PRESENT ON THE ISLAND,,9527,,1882,,3697,,1005,,1191,,111,,17413,
ARRIVALS,,0,,0,,97,,0,,8,,0,,105,
TRANSPORTSTO THE MAINLAND,,11,,5,,3,,0,,0,,4,,23,
DEPARTURES(EU-TURKEY STATEMENT),,0,,0,,0,,0,,0,,0,,0,
DEPARTURES (1.0.M.),,0,,0,,0,,0,,0,,0,,0,
TOTAL DEPARTURES FROM THE ISLAND,,0,,0,,0,,0,,0,,0,,0,
