PLACE/LOCATION,,LESVOS,,CHIOS,,SAMOS,,LEROS,,KOS,,OTHER ISLANDS,,TOTAL,
,,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.
R.I.C.,,8080,3100,2122,1014,3751,648,728,860,1223,816,,,15904,6438
OTHER ACCOMODATION FACILITIES,,1198,,,,,,90,120,,,,,1288,
"HELLENIC POLICE
FACILITIES",P.D.C.,121,210,,,,,,,75,500,,,196,710
,DETENTION FACILITIES,7,40,27,18,8,24,3,6,1,36,26,63,72,187
U.N.H.C.R.,,624,677,216,250,211,227,91,116,162,189,67,105,1371,1564
N.C.S.S.,,164,160,18,18,11,12,,,,,,,193,190
OTHER N.G.O.s,,87,,,,,,,,,,,,87,
MAKESHIFT CAMPS,,0,,0,,0,,0,,0,,0,,0,
MIGRANTS PRESENT ON THE ISLAND,,10281,,2383,,3981,,912,,1461,,93,,19111,
ARRIVALS,,0,,10,,0,,0,,33,,0,,43,
TRANSPORTSTO THE MAINLAND,,32,,10,,2,,5,,3,,8,,60,
DEPARTURES(EU-TURKEY STATEMENT),,0,,0,,0,,0,,0,,0,,0,
DEPARTURES (1.0.M.),,0,,0,,0,,0,,0,,0,,0,
TOTAL DEPARTURES FROM THE ISLAND,,0,,0,,0,,0,,0,,0,,0,
