PLACE/LOCATION,,LESVOS,,CHIOS,,SAMOS,,LEROS,,KOS,,OTHER ISLANDS,,TOTAL,
,,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.
R.I.C.,,8789,3100,2181,1014,3938,648,684,860,1252,816,,,16844,6438
OTHER ACCOMODATION FACILITIES,,1204,,,,,,90,120,,,,,1294,
"HELLENIC POLICE
FACILITIES",P.D.C.,93,210,,,,,,,156,500,,,249,710
,DETENTION FACILITIES,3,40,17,18,20,24,7,6,0,36,5,63,52,187
U.N.H.C.R.,,622,677,207,250,215,227,84,116,149,189,60,105,1337,1564
N.C.S.S.,,145,160,18,18,8,12,,,,,,,171,190
OTHER N.G.O.s,,87,,,,,,,,,,,,87,
MAKESHIFT CAMPS,,0,,0,,0,,0,,0,,16,,16,
MIGRANTS PRESENT ON THE ISLAND,,10943,,2423,,4181,,865,,1557,,81,,20050,
ARRIVALS,,108,,0,,0,,0,,1,,6,,115,
TRANSPORTSTO THE MAINLAND,,104,,8,,0,,13,,20,,16,,161,
DEPARTURES(EU-TURKEY STATEMENT),,0,,0,,0,,0,,0,,0,,0,
DEPARTURES (1.0.M.),,0,,0,,0,,0,,0,,0,,0,
TOTAL DEPARTURES FROM THE ISLAND,,0,,0,,0,,0,,0,,0,,0,
