PLACE/LOCATION,,LESVOS,,CHIOS,,SAMOS,,LEROS,,KOS,,OTHER ISLANDS,,TOTAL,
,,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.
R.I.C.,,5295,3000,1205,1014,2508,648,562,860,863,816,,,10433,6338
OTHER ACCOMODATION FACILITIES,,1167,,,,,,89,120,,,,,1256,
"HELLENIC POLICE
FACILITIES",P.D.C.,113,210,,,,,,,72,500,,,185,710
,DETENTION FACILITIES,12,40,12,18,15,24,3,6,1,35,52,68,95,191
U.N.H.C.R.,,492,599,210,273,192,235,99,116,142,161,65,99,1200,1483
N.C.S.S.,,173,180,16,18,12,12,,,,,,,201,210
OTHER N.G.O.s,,84,,,,,,,,,,,,84,
MAKESHIFT CAMPS,,0,,0,,0,,0,,0,,0,,0,
MIGRANTS PRESENT ON THE ISLAND,,7336,,1443,,2727,,753,,1078,,117,,13454,
ARRIVALS,,0,,0,,0,,0,,0,,3,,3,
TRANSPORTSTO THE MAINLAND,,0,,27,,0,,0,,0,,0,,27,
DEPARTURES (EU-TURKEY STATEMENT),,0,,0,,0,,0,,0,,0,,0,
DEPARTURES (1.0.M.),,0,,0,,0,,0,,0,,0,,0,
TOTAL DEPARTURES FROM THE ISLAND,,0,,0,,0,,0,,0,,0,,0,
