PLACE/LOCATION,,LESVOS,,CHIOS,,SAMOS,,LEROS,,KOS,,OTHER ISLANDS,,TOTAL,
,,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.
R.I.C.,,5268,3000,1216,1014,2503,648,591,860,793,770,,,10371,6292
OTHER ACCOMODATION FACILITIES,,1191,,,,,,60,120,,,,,1251,
"HELLENIC POLICE
FACILITIES",P.D.C.,104,210,,,,,,,66,500,,,170,710
,DETENTION FACILITIES,2,40,13,18,15,24,3,6,0,35,32,68,65,191
U.N.H.C.R.,,479,567,212,273,178,231,90,116,138,161,69,99,1166,1447
N.C.S.S.,,175,180,16,18,12,12,,,,,,,203,210
OTHER N.G.O.s,,84,,,,,,,,,,,,84,
MAKESHIFT CAMPS,,0,,0,,0,,0,,0,,0,,0,
MIGRANTS PRESENT ON THE ISLAND,,7303,,1457,,2708,,744,,997,,101,,13310,
ARRIVALS,,48,,0,,0,,0,,34,,21,,103,
TRANSPORTSTO THE MAINLAND,,20,,6,,53,,0,,3,,0,,82,
DEPARTURES (EU-TURKEY STATEMENT),,0,,0,,0,,0,,0,,0,,0,
DEPARTURES (1.0.M.),,0,,0,,0,,0,,0,,0,,0,
TOTAL DEPARTURES FROM THE ISLAND,,0,,0,,0,,0,,0,,0,,0,
