PLACE/LOCATION,,LESVOS,,CHIOS,,SAMOS,,LEROS,,KOS,,OTHER ISLANDS,,TOTAL,
,,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.
R.I.C.,,5283,3000,1191,1014,2479,648,574,860,846,816,,,10373,6338
OTHER ACCOMODATION FACILITIES,,1200,,,,,,89,120,,,,,1289,
"HELLENIC POLICE
FACILITIES",P.D.C.,108,210,,,,,,,68,500,,,176,710
,DETENTION FACILITIES,3,40,16,18,10,24,4,6,0,35,28,68,61,191
U.N.H.C.R.,,509,599,202,259,216,235,103,116,135,161,67,99,1232,1469
N.C.S.S.,,176,180,16,18,12,12,,,,,,,204,210
OTHER N.G.O.s,,84,,,,,,,,,,,,84,
MAKESHIFT CAMPS,,0,,0,,0,,0,,0,,0,,0,
MIGRANTS PRESENT ON THE ISLAND,,7363,,1425,,2717,,770,,1049,,95,,13419,
ARRIVALS,,60,,0,,0,,0,,0,,0,,60,
TRANSPORTSTO THE MAINLAND,,4,,0,,0,,0,,0,,0,,4,
DEPARTURES (EU-TURKEY STATEMENT),,0,,0,,0,,0,,0,,0,,0,
DEPARTURES (1.0.M.),,0,,0,,0,,0,,0,,0,,0,
TOTAL DEPARTURES FROM THE ISLAND,,0,,0,,0,,0,,0,,0,,0,
