PLACE/LOCATION,,LESVOS,,CHIOS,,SAMOS,,LEROS,,KOS,,OTHER ISLANDS,,TOTAL,
,,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.
R.I.C.,,6602,3000,1431,1014,2865,648,634,860,857,816,,,12389,6338
OTHER ACCOMODATION FACILITIES,,1221,,,,,,95,120,,,,,1316,
"HELLENIC POLICE
FACILITIES",P.D.C.,124,210,,,,,,,71,500,,,195,710
,DETENTION FACILITIES,2,40,15,18,6,24,0,6,2,35,27,65,52,188
U.N.H.C.R.,,553,603,187,236,205,245,102,116,146,161,62,103,1255,1464
N.C.S.S.,,175,180,19,18,10,10,,,,,,,204,208
OTHER N.G.O.s,,84,,,,,,,,,,,,84,
MAKESHIFT CAMPS,,0,,0,,0,,0,,0,,0,,0,
MIGRANTS PRESENT ON THE ISLAND,,8761,,1652,,3086,,831,,1076,,89,,15495,
ARRIVALS,,0,,0,,0,,0,,0,,0,,0,
TRANSPORTSTO THE MAINLAND,,69,,18,,0,,6,,19,,0,,112,
DEPARTURES (EU-TURKEY STATEMENT),,0,,0,,0,,0,,0,,0,,0,
DEPARTURES (1.0.M.),,0,,6,,6,,7,,1,,0,,20,
TOTAL DEPARTURES FROM THE ISLAND,,0,,6,,6,,7,,1,,0,,20,
