PLACE/LOCATION,,LESVOS,,CHIOS,,SAMOS,,LEROS,,KOS,,OTHER ISLANDS,,TOTAL,
,,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.
R.I.C.,,7572,3100,2079,1014,3549,648,792,860,970,816,,,14962,6438
OTHER ACCOMODATION FACILITIES,,1211,,,,,,111,120,,,,,1322,
"HELLENIC POLICE
FACILITIES",P.D.C.,110,210,,,,,,,92,500,,,202,710
,DETENTION FACILITIES,6,40,14,18,14,24,1,6,2,36,34,65,71,189
U.N.H.C.R.,,595,681,217,244,245,240,111,116,171,189,61,105,1400,1575
N.C.S.S.,,161,168,18,18,11,12,,,,,,,190,198
OTHER N.G.O.s,,80,,,,,,,,,,,,80,
MAKESHIFT CAMPS,,0,,0,,0,,0,,0,,0,,0,
MIGRANTS PRESENT ON THE ISLAND,,9735,,2328,,3819,,1015,,1235,,95,,18227,
ARRIVALS,,44,,0,,0,,0,,46,,13,,103,
TRANSPORTSTO THE MAINLAND,,20,,7,,44,,4,,38,,0,,113,
DEPARTURES(EU-TURKEY STATEMENT),,4,,1,,0,,0,,2,,0,,7,
DEPARTURES (1.0.M.),,0,,0,,0,,0,,0,,0,,0,
TOTAL DEPARTURES FROM THE ISLAND,,4,,1,,0,,0,,2,,0,,7,
