PLACE/LOCATION,,LESVOS,,CHIOS,,SAMOS,,LEROS,,KOS,,OTHER ISLANDS,,TOTAL,
,,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.
R.I.C.,,5485,2330,1750,894,2346,700,675,880,660,772,,,10916,5576
OTHER ACCOMODATION FACILITIES,,1059,,,,,,94,120,,,,,1153,
"HELLENIC POLICE
FACILITIES",P.D.C.,155,210,,,,,,,92,500,,,247,710
,DETENTION FACILITIES,18,40,24,18,27,24,4,6,2,35,30,63,105,186
U.N.H.C.R.,,397,497,209,239,94,144,58,80,110,140,81,87,949,1187
N.C.S.S.,,170,180,17,18,14,14,,,,,,,201,212
OTHER N.G.O.s,,89,,,,,,,,,,,,89,
MAKESHIFT CAMPS,,0,,0,,0,,0,,0,,3,,3,
MIGRANTS PRESENT ON THE ISLAND,,7373,,2000,,2481,,831,,864,,114,,13663,
ARRIVALS,,0,,0,,52,,0,,0,,0,,52,
TRANSPORTSTO THE MAINLAND,,5,,109,,1,,24,,0,,0,,139,
DEPARTURES (EU-TURKEY STATEMENT),,0,,0,,0,,0,,0,,0,,0,
DEPARTURES (I.O.M.),,0,,0,,0,,0,,0,,0,,0,
TOTAL DEPARTURES FROM THE ISLAND,,0,,0,,0,,0,,0,,0,,0,
