PLACE/LOCATION,,LESVOS,,CHIOS,,SAMOS,,LEROS,,KOS,,OTHER ISLANDS,,TOTAL,
,,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.
R.I.C.,,8777,3100,2258,1014,3810,648,691,860,1308,816,,,16844,6438
OTHER ACCOMODATION FACILITIES,,1190,,,,,,90,120,,,,,1280,
"HELLENIC POLICE
FACILITIES",P.D.C.,108,210,,,,,,,131,500,,,239,710
,DETENTION FACILITIES,8,40,23,18,10,24,5,6,0,36,53,63,99,187
U.N.H.C.R.,,605,677,219,250,215,236,91,116,160,189,60,105,1350,1573
N.C.S.S.,,145,158,17,18,11,12,,,,,,,173,188
OTHER N.G.O.s,,100,,,,,,,,,,,,100,
MAKESHIFT CAMPS,,0,,0,,0,,0,,0,,0,,0,
MIGRANTS PRESENT ON THE ISLAND,,10933,,2517,,4046,,877,,1599,,113,,20085,
ARRIVALS,,0,,16,,1,,0,,45,,0,,62,
TRANSPORTSTO THE MAINLAND,,59,,40,,195,,0,,6,,1,,301,
DEPARTURES(EU-TURKEY STATEMENT),,0,,0,,0,,0,,0,,0,,0,
DEPARTURES (I.O.M.),,12,,0,,0,,0,,0,,0,,12,
TOTAL DEPARTURES FROM THE ISLAND,,12,,0,,0,,0,,0,,0,,12,
