PLACE/LOCATION,,LESVOS,,CHIOS,,SAMOS,,LEROS,,KOS,,OTHER ISLANDS,,TOTAL,
,,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.
R.I.C.,,8347,3100,2386,1014,4060,648,759,860,1258,816,,,16810,6438
OTHER ACCOMODATION FACILITIES,,1190,,,,,,95,120,,,,,1285,
"HELLENIC POLICE
FACILITIES",P.D.C.,91,210,,,,,,,122,500,,,213,710
,DETENTION FACILITIES,1,40,9,18,13,24,5,6,2,36,48,63,78,187
U.N.H.C.R.,,590,677,233,250,209,236,86,116,141,189,60,105,1319,1573
N.C.S.S.,,144,158,16,18,11,12,,,,,,,171,188
OTHER N.G.O.s,,100,,,,,,,,,,,,100,
MAKESHIFT CAMPS,,0,,0,,0,,0,,0,,15,,15,
MIGRANTS PRESENT ON THE ISLAND,,10463,,2644,,4293,,945,,1523,,123,,19991,
ARRIVALS,,0,,0,,0,,0,,0,,0,,0,
TRANSPORTSTO THE MAINLAND,,0,,0,,0,,0,,0,,0,,0,
DEPARTURES(EU-TURKEY STATEMENT),,0,,0,,0,,0,,0,,0,,0,
DEPARTURES (1.0.M.),,0,,0,,0,,0,,0,,0,,0,
TOTAL DEPARTURES FROM THE ISLAND,,0,,0,,0,,0,,0,,0,,0,
