PLACE/LOCATION,,LESVOS,,CHIOS,,SAMOS,,LEROS,,KOS,,OTHER ISLANDS,,TOTAL,
,,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.
R.I.C.,,5018,3000,1271,1014,2321,648,520,860,783,770,,,9913,6292
OTHER ACCOMODATION FACILITIES,,1207,,,,,,60,120,,,,,1267,
"HELLENIC POLICE
FACILITIES",P.D.C.,113,210,,,,,,,84,500,,,197,710
,DETENTION FACILITIES,5,40,23,18,16,24,8,6,0,35,16,63,68,186
U.N.H.C.R.,,477,567,218,251,173,173,85,116,115,130,72,99,1140,1336
N.C.S.S.,,170,180,18,18,12,12,,,,,,,200,210
OTHER N.G.O.s,,84,,,,,,,,,,,,84,
MAKESHIFT CAMPS,,0,,0,,0,,0,,0,,0,,0,
MIGRANTS PRESENT ON THE ISLAND,,7074,,1530,,2522,,673,,982,,88,,12869,
ARRIVALS,,50,,0,,0,,0,,0,,2,,52,
TRANSPORTSTO THE MAINLAND,,4,,2,,35,,0,,9,,0,,50,
DEPARTURES(EU-TURKEY STATEMENT),,0,,0,,0,,0,,0,,0,,0,
DEPARTURES (1.0.M.),,0,,0,,0,,0,,0,,0,,0,
TOTAL DEPARTURES FROM THE ISLAND,,0,,0,,0,,0,,0,,0,,0,
