PLACE/LOCATION,,LESVOS,,CHIOS,,SAMOS,,LEROS,,KOS,,OTHER ISLANDS,,TOTAL,
,,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.
R.I.C.,,6539,3000,1432,1014,2879,648,646,860,880,816,,,12376,6338
OTHER ACCOMODATION FACILITIES,,1245,,,,,,95,120,,,,,1340,
"HELLENIC POLICE
FACILITIES",P.D.C.,141,210,,,,,,,73,500,,,214,710
,DETENTION FACILITIES,1,40,13,18,11,24,4,6,3,35,25,63,57,186
U.N.H.C.R.,,566,603,184,236,228,235,102,116,150,161,62,103,1292,1454
N.C.S.S.,,176,180,16,18,12,12,,,,,,,204,210
OTHER N.G.O.s,,84,,,,,,,,,,,,84,
MAKESHIFT CAMPS,,0,,0,,0,,0,,0,,0,,0,
MIGRANTS PRESENT ON THE ISLAND,,8752,,1645,,3130,,847,,1106,,87,,15567,
ARRIVALS,,50,,61,,0,,0,,0,,34,,145,
TRANSPORTSTO THE MAINLAND,,0,,0,,0,,2,,5,,0,,7,
DEPARTURES (EU-TURKEY STATEMENT),,0,,0,,0,,0,,0,,0,,0,
DEPARTURES (1.0.M.),,0,,0,,0,,0,,0,,0,,0,
TOTAL DEPARTURES FROM THE ISLAND,,0,,0,,0,,0,,0,,0,,0,
