PLACE/LOCATION,,LESVOS,,CHIOS,,SAMOS,,LEROS,,KOS,,OTHER ISLANDS,,TOTAL,
,,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.
R.I.C.,,7402,3100,1938,1014,3557,648,752,860,1062,816,,,14711,6438
OTHER ACCOMODATION FACILITIES,,1157,,,,,,98,120,,,,,1255,
"HELLENIC POLICE
FACILITIES",P.D.C.,120,210,,,,,,,98,500,,,218,710
,DETENTION FACILITIES,1,40,38,18,15,24,5,6,2,36,36,68,97,192
U.N.H.C.R.,,606,679,225,250,201,227,99,116,150,189,68,105,1349,1566
N.C.S.S.,,160,168,17,18,11,12,,,,,,,188,198
OTHER N.G.O.s,,83,,,,,,,,,,,,83,
MAKESHIFT CAMPS,,0,,0,,0,,0,,0,,0,,0,
MIGRANTS PRESENT ON THE ISLAND,,9529,,2218,,3784,,954,,1312,,104,,17901,
ARRIVALS,,13,,0,,0,,0,,43,,0,,56,
TRANSPORTSTO THE MAINLAND,,19,,25,,16,,0,,2,,6,,68,
DEPARTURES(EU-TURKEY STATEMENT),,0,,0,,0,,0,,0,,0,,0,
DEPARTURES (1.0.M.),,7,,0,,0,,0,,3,,0,,10,
TOTAL DEPARTURES FROM THE ISLAND,,7,,0,,0,,0,,3,,0,,10,
