PLACE/LOCATION,,LESVOS,,CHIOS,,SAMOS,,LEROS,,KOS,,OTHER ISLANDS,,TOTAL,
,,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.
R.I.C.,,5485,2330,1750,894,2346,700,675,880,660,772,,,10916,5576
OTHER ACCOMODATION FACILITIES,,1059,,,,,,94,120,,,,,1153,
"HELLENIC POLICE
FACILITIES",P.D.C.,163,210,,,,,,,95,500,,,258,710
,DETENTION FACILITIES,10,40,24,18,27,24,3,6,2,35,31,63,97,186
U.N.H.C.R.,,406,522,209,239,94,144,58,80,105,140,81,87,953,1212
N.C.S.S.,,170,180,17,18,14,14,,,,,,,201,212
OTHER N.G.O.s,,89,,,,,,,,,,,,89,
MAKESHIFT CAMPS,,0,,0,,0,,0,,0,,0,,0,
MIGRANTS PRESENT ON THE ISLAND,,7382,,2000,,2481,,830,,862,,112,,13667,
ARRIVALS,,36,,0,,0,,0,,0,,42,,78,
TRANSPORTSTO THE MAINLAND,,0,,0,,0,,0,,0,,2,,2,
DEPARTURES (EU-TURKEY STATEMENT),,0,,0,,0,,0,,0,,0,,0,
DEPARTURES (I.O.M.),,0,,0,,0,,0,,0,,0,,0,
TOTAL DEPARTURES FROM THE ISLAND,,0,,0,,0,,0,,0,,0,,0,
