PLACE/LOCATION,,LESVOS,,CHIOS,,SAMOS,,LEROS,,KOS,,OTHER ISLANDS,,TOTAL,
,,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.
R.I.C.,,7300,3000,1455,1014,3020,648,804,860,856,816,,,13435,6338
OTHER ACCOMODATION FACILITIES,,1141,,,,,,120,120,,,,,1261,
"HELLENIC POLICE
FACILITIES",P.D.C.,126,210,,,,,,,123,500,,,249,710
,DETENTION FACILITIES,1,40,16,18,12,24,1,6,3,35,35,63,68,186
U.N.H.C.R.,,548,655,219,248,234,245,101,116,168,189,73,105,1343,1558
N.C.S.S.,,155,172,16,18,8,8,,,,,,,179,198
OTHER N.G.O.s,,93,,,,,,,,,,,,93,
MAKESHIFT CAMPS,,0,,0,,0,,0,,0,,0,,0,
MIGRANTS PRESENT ON THE ISLAND,,9364,,1706,,3274,,1026,,1150,,108,,16628,
ARRIVALS,,53,,0,,0,,0,,0,,0,,53,
TRANSPORTSTO THE MAINLAND,,52,,9,,34,,2,,10,,2,,109,
DEPARTURES(EU-TURKEY STATEMENT),,0,,0,,0,,0,,0,,0,,0,
DEPARTURES (1.0.M.),,0,,0,,0,,0,,0,,0,,0,
TOTAL DEPARTURES FROM THE ISLAND,,0,,0,,0,,0,,0,,0,,0,
