PLACE/LOCATION,,LESVOS,,CHIOS,,SAMOS,,LEROS,,KOS,,OTHER ISLANDS,,TOTAL,
,,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.
R.I.C.,,8546,3100,2149,1014,3913,648,687,860,1248,816,,,16543,6438
OTHER ACCOMODATION FACILITIES,,1185,,,,,,90,120,,,,,1275,
"HELLENIC POLICE
FACILITIES",P.D.C.,97,210,,,,,,,155,500,,,252,710
,DETENTION FACILITIES,13,40,17,18,13,24,7,6,0,36,5,63,55,187
U.N.H.C.R.,,621,677,211,250,215,227,84,116,156,189,60,105,1347,1564
N.C.S.S.,,145,160,18,18,8,12,,,,,,,171,190
OTHER N.G.O.s,,87,,,,,,,,,,,,87,
MAKESHIFT CAMPS,,0,,0,,0,,0,,0,,16,,16,
MIGRANTS PRESENT ON THE ISLAND,,10694,,2395,,4149,,868,,1559,,81,,19746,
ARRIVALS,,12,,0,,0,,0,,0,,0,,12,
TRANSPORTSTO THE MAINLAND,,304,,51,,42,,0,,3,,2,,402,
DEPARTURES(EU-TURKEY STATEMENT),,0,,0,,0,,0,,0,,0,,0,
DEPARTURES (1.0.M.),,0,,0,,0,,0,,0,,0,,0,
TOTAL DEPARTURES FROM THE ISLAND,,0,,0,,0,,0,,0,,0,,0,
