PLACE/LOCATION,,LESVOS,,CHIOS,,SAMOS,,LEROS,,KOS,,OTHER ISLANDS,,TOTAL,
,,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.
R.I.C.,,4927,3000,1305,894,2356,700,547,880,703,772,,,9838,6246
OTHER ACCOMODATION FACILITIES,,1126,,,,,,60,120,,,,,1186,
"HELLENIC POLICE
FACILITIES",P.D.C.,123,210,,,,,,,84,500,,,207,710
,DETENTION FACILITIES,3,40,24,18,18,24,4,6,0,35,16,63,65,186
U.N.H.C.R.,,444,557,209,251,168,170,85,116,114,130,70,95,1090,1319
N.C.S.S.,,157,170,15,18,10,10,,,,,,,182,198
OTHER N.G.O.s,,91,,,,,,,,,,,,91,
MAKESHIFT CAMPS,,0,,0,,0,,0,,0,,0,,0,
MIGRANTS PRESENT ON THE ISLAND,,6871,,1553,,2552,,696,,901,,86,,12659,
ARRIVALS,,35,,0,,49,,0,,55,,0,,139,
TRANSPORTSTO THE MAINLAND,,98,,3,,0,,2,,2,,0,,105,
DEPARTURES(EU-TURKEY STATEMENT),,0,,0,,0,,0,,0,,0,,0,
DEPARTURES (1.0.M.),,0,,0,,0,,0,,0,,0,,0,
TOTAL DEPARTURES FROM THE ISLAND,,0,,0,,0,,0,,0,,0,,0,
