PLACE/LOCATION,,LESVOS,,CHIOS,,SAMOS,,LEROS,,KOS,,OTHER ISLANDS,,TOTAL,
,,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.
R.I.C.,,7296,3000,1454,1014,3076,648,798,860,870,816,,,13494,6338
OTHER ACCOMODATION FACILITIES,,1141,,,,,,120,120,,,,,1261,
"HELLENIC POLICE
FACILITIES",P.D.C.,105,210,,,,,,,123,500,,,228,710
,DETENTION FACILITIES,0,40,16,18,9,24,1,6,6,36,42,63,74,187
U.N.H.C.R.,,539,655,219,248,244,245,101,116,174,189,73,105,1350,1558
N.C.S.S.,,155,172,16,18,8,8,,,,,,,179,198
OTHER N.G.O.s,,93,,,,,,,,,,,,93,
MAKESHIFT CAMPS,,0,,0,,0,,0,,0,,6,,6,
MIGRANTS PRESENT ON THE ISLAND,,9329,,1705,,3337,,1020,,1173,,121,,16685,
ARRIVALS,,0,,0,,57,,0,,14,,6,,77,
TRANSPORTSTO THE MAINLAND,,7,,2,,0,,0,,0,,1,,10,
DEPARTURES(EU-TURKEY STATEMENT),,0,,0,,0,,0,,0,,0,,0,
DEPARTURES (1.0.M.),,9,,7,,0,,0,,0,,0,,16,
TOTAL DEPARTURES FROM THE ISLAND,,9,,7,,0,,0,,0,,0,,16,
