PLACE/LOCATION,,LESVOS,,CHIOS,,SAMOS,,LEROS,,KOS,,OTHER ISLANDS,,TOTAL,
,,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.
R.I.C.,,6885,3000,1427,1014,2890,648,630,860,864,816,,,12696,6338
OTHER ACCOMODATION FACILITIES,,1149,,,,,,95,120,,,,,1244,
"HELLENIC POLICE
FACILITIES",P.D.C.,131,210,,,,,,,69,500,,,200,710
,DETENTION FACILITIES,2,40,23,18,7,24,3,6,2,35,28,63,65,186
U.N.H.C.R.,,540,607,183,248,221,245,98,116,146,161,67,109,1255,1486
N.C.S.S.,,173,180,19,18,8,8,,,,,,,200,206
OTHER N.G.O.s,,84,,,,,,,,,,,,84,
MAKESHIFT CAMPS,,0,,0,,0,,0,,0,,48,,48,
MIGRANTS PRESENT ON THE ISLAND,,8964,,1652,,3126,,826,,1081,,143,,15792,
ARRIVALS,,83,,0,,0,,0,,0,,0,,83,
TRANSPORTSTO THE MAINLAND,,95,,8,,1,,3,,5,,0,,112,
DEPARTURES (EU-TURKEY STATEMENT),,1,,1,,2,,0,,1,,0,,5,
DEPARTURES (1.0.M.),,0,,0,,0,,0,,0,,0,,0,
TOTAL DEPARTURES FROM THE ISLAND,,1,,1,,2,,0,,1,,0,,5,
