PLACE/LOCATION,,LESVOS,,CHIOS,,SAMOS,,LEROS,,KOS,,OTHER ISLANDS,,TOTAL,
,,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.
R.I.C.,,7356,3000,1830,1014,3637,648,816,860,928,816,,,14567,6338
OTHER ACCOMODATION FACILITIES,,1175,,,,,,117,120,,,,,1292,
"HELLENIC POLICE
FACILITIES",P.D.C.,102,210,,,,,,,98,500,,,200,710
,DETENTION FACILITIES,6,40,18,18,10,24,1,6,2,36,38,63,75,187
U.N.H.C.R.,,579,681,188,248,231,245,111,116,171,189,76,105,1356,1584
N.C.S.S.,,156,168,18,19,9,12,,,,,,,183,199
OTHER N.G.O.s,,98,,,,,,,,,,,,98,
MAKESHIFT CAMPS,,0,,0,,0,,0,,0,,0,,0,
MIGRANTS PRESENT ON THE ISLAND,,9472,,2054,,3887,,1045,,1199,,114,,17771,
ARRIVALS,,54,,76,,47,,0,,0,,57,,234,
TRANSPORTSTO THE MAINLAND,,36,,28,,11,,0,,2,,0,,77,
DEPARTURES(EU-TURKEY STATEMENT),,0,,0,,0,,0,,0,,0,,0,
DEPARTURES (1.0.M.),,0,,0,,0,,0,,0,,0,,0,
TOTAL DEPARTURES FROM THE ISLAND,,0,,0,,0,,0,,0,,0,,0,
