PLACE/LOCATION,,LESVOS,,CHIOS,,SAMOS,,LEROS,,KOS,,OTHER ISLANDS,,TOTAL,
,,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.
R.I.C.,,6553,3000,1431,1014,2872,648,646,860,880,816,,,12382,6338
OTHER ACCOMODATION FACILITIES,,1221,,,,,,95,120,,,,,1316,
"HELLENIC POLICE
FACILITIES",P.D.C.,132,210,,,,,,,73,500,,,205,710
,DETENTION FACILITIES,1,40,16,18,8,24,4,6,2,35,31,63,62,186
U.N.H.C.R.,,545,603,187,236,228,245,102,116,146,161,62,103,1270,1464
N.C.S.S.,,176,180,16,18,12,12,,,,,,,204,210
OTHER N.G.O.s,,84,,,,,,,,,,,,84,
MAKESHIFT CAMPS,,0,,0,,0,,0,,0,,0,,0,
MIGRANTS PRESENT ON THE ISLAND,,8712,,1650,,3120,,847,,1101,,93,,15523,
ARRIVALS,,83,,0,,0,,0,,0,,7,,90,
TRANSPORTSTO THE MAINLAND,,3,,2,,2,,0,,0,,0,,7,
DEPARTURES (EU-TURKEY STATEMENT),,2,,0,,3,,0,,1,,0,,6,
DEPARTURES (I.O.M.),,0,,0,,0,,0,,0,,0,,0,
TOTAL DEPARTURES FROM THE ISLAND,,2,,0,,3,,0,,1,,0,,6,
