PLACE/LOCATION,,LESVOS,,CHIOS,,SAMOS,,LEROS,,KOS,,OTHER ISLANDS,,TOTAL,
,,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.
R.I.C.,,5404,3000,1191,1014,2479,648,569,860,846,816,,,10489,6338
OTHER ACCOMODATION FACILITIES,,1200,,,,,,89,120,,,,,1289,
"HELLENIC POLICE
FACILITIES",P.D.C.,109,210,,,,,,,68,500,,,177,710
,DETENTION FACILITIES,3,40,16,18,10,24,4,6,0,35,28,68,61,191
U.N.H.C.R.,,509,599,202,259,216,235,103,116,135,161,67,99,1232,1469
N.C.S.S.,,176,180,16,18,12,12,,,,,,,204,210
OTHER N.G.O.s,,84,,,,,,,,,,,,84,
MAKESHIFT CAMPS,,0,,0,,0,,0,,0,,0,,0,
MIGRANTS PRESENT ON THE ISLAND,,7485,,1425,,2717,,765,,1049,,95,,13536,
ARRIVALS,,96,,0,,0,,0,,0,,0,,96,
TRANSPORTSTO THE MAINLAND,,0,,4,,1,,3,,0,,0,,8,
DEPARTURES (EU-TURKEY STATEMENT),,0,,0,,0,,0,,0,,0,,0,
DEPARTURES (1.0.M.),,0,,0,,0,,0,,0,,0,,0,
TOTAL DEPARTURES FROM THE ISLAND,,0,,0,,0,,0,,0,,0,,0,
