PLACE/LOCATION,,LESVOS,,CHIOS,,SAMOS,,LEROS,,KOS,,OTHER ISLANDS,,TOTAL,
,,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.
R.I.C.,,5097,3000,1217,1014,2474,648,562,860,742,770,,,10092,6292
OTHER ACCOMODATION FACILITIES,,1191,,,,,,60,120,,,,,1251,
"HELLENIC POLICE
FACILITIES",P.D.C.,111,210,,,,,,,67,500,,,178,710
,DETENTION FACILITIES,3,40,11,18,14,24,5,6,1,35,25,63,59,186
U.N.H.C.R.,,483,567,217,257,173,231,90,116,112,161,74,99,1149,1431
N.C.S.S.,,175,180,16,18,12,12,,,,,,,203,210
OTHER N.G.O.s,,84,,,,,,,,,,,,84,
MAKESHIFT CAMPS,,0,,0,,0,,0,,0,,0,,0,
MIGRANTS PRESENT ON THE ISLAND,,7144,,1461,,2673,,717,,922,,99,,13016,
ARRIVALS,,138,,0,,32,,0,,1,,0,,171,
TRANSPORTSTO THE MAINLAND,,3,,0,,0,,0,,0,,0,,3,
DEPARTURES(EU-TURKEY STATEMENT),,0,,0,,0,,0,,0,,0,,0,
DEPARTURES (1.0.M.),,0,,0,,0,,0,,0,,0,,0,
TOTAL DEPARTURES FROM THE ISLAND,,0,,0,,0,,0,,0,,0,,0,
