PLACE/LOCATION,,LESVOS,,CHIOS,,SAMOS,,LEROS,,KOS,,OTHER ISLANDS,,TOTAL,
,,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.
R.I.C.,,6824,3000,1435,1014,3171,648,802,860,862,816,,,13094,6338
OTHER ACCOMODATION FACILITIES,,1217,,,,,,124,120,,,,,1341,
"HELLENIC POLICE
FACILITIES",P.D.C.,110,210,,,,,,,114,500,,,224,710
,DETENTION FACILITIES,2,40,23,18,14,24,0,6,6,36,28,63,73,187
U.N.H.C.R.,,558,661,221,248,234,245,81,116,169,189,75,105,1338,1564
N.C.S.S.,,151,158,16,18,6,12,,,,,,,173,188
OTHER N.G.O.s,,337,,,,,,,,,,,,337,
MAKESHIFT CAMPS,,0,,0,,0,,0,,0,,0,,0,
MIGRANTS PRESENT ON THE ISLAND,,9199,,1695,,3425,,1007,,1151,,103,,16580,
ARRIVALS,,0,,0,,2,,0,,16,,0,,18,
TRANSPORTSTO THE MAINLAND,,7,,7,,0,,0,,0,,5,,19,
DEPARTURES(EU-TURKEY STATEMENT),,0,,0,,0,,0,,0,,0,,0,
DEPARTURES (1.0.M.),,0,,7,,0,,0,,6,,0,,13,
TOTAL DEPARTURES FROM THE ISLAND,,0,,7,,0,,0,,6,,0,,13,
