PLACE/LOCATION,,LESVOS,,CHIOS,,SAMOS,,LEROS,,KOS,,OTHER ISLANDS,,TOTAL,
,,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.
R.I.C.,,8464,3100,2143,1014,3953,648,687,860,1266,816,,,16513,6438
OTHER ACCOMODATION FACILITIES,,1185,,,,,,90,120,,,,,1275,
"HELLENIC POLICE
FACILITIES",P.D.C.,95,210,,,,,,,147,500,,,242,710
,DETENTION FACILITIES,6,40,17,18,14,24,6,6,3,36,0,63,46,187
U.N.H.C.R.,,617,677,211,250,201,227,84,116,153,189,60,105,1326,1564
N.C.S.S.,,145,160,18,18,8,12,,,,,,,171,190
OTHER N.G.O.s,,87,,,,,,,,,,,,87,
MAKESHIFT CAMPS,,0,,0,,0,,0,,0,,51,,51,
MIGRANTS PRESENT ON THE ISLAND,,10599,,2389,,4176,,867,,1569,,111,,19711,
ARRIVALS,,79,,0,,39,,0,,34,,35,,187,
TRANSPORTSTO THE MAINLAND,,162,,10,,0,,9,,10,,0,,191,
DEPARTURES(EU-TURKEY STATEMENT),,0,,0,,2,,0,,5,,0,,7,
DEPARTURES (1.0.M.),,0,,0,,0,,0,,0,,0,,0,
TOTAL DEPARTURES FROM THE ISLAND,,0,,0,,2,,0,,5,,0,,7,
