PLACE/LOCATION,,LESVOS,,CHIOS,,SAMOS,,LEROS,,KOS,,OTHER ISLANDS,,TOTAL,
,,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.
R.I.C.,,4972,3000,1325,894,2273,700,558,880,605,772,,,9733,6246
OTHER ACCOMODATION FACILITIES,,1126,,,,,,60,120,,,,,1186,
"HELLENIC POLICE
FACILITIES",P.D.C.,123,210,,,,,,,86,500,,,209,710
,DETENTION FACILITIES,3,40,22,18,19,24,6,6,0,35,20,63,70,186
U.N.H.C.R.,,444,547,225,251,161,170,85,116,114,130,70,95,1099,1309
N.C.S.S.,,155,170,16,18,11,11,,,,,,,182,199
OTHER N.G.O.s,,91,,,,,,,,,,,,91,
MAKESHIFT CAMPS,,0,,0,,0,,0,,0,,0,,0,
MIGRANTS PRESENT ON THE ISLAND,,6914,,1588,,2464,,709,,805,,90,,12570,
ARRIVALS,,28,,0,,0,,0,,1,,0,,29,
TRANSPORTSTO THE MAINLAND,,33,,22,,28,,3,,10,,0,,96,
DEPARTURES(EU-TURKEY STATEMENT),,8,,0,,0,,0,,0,,0,,8,
DEPARTURES (1.0.M.),,0,,0,,0,,0,,0,,0,,0,
TOTAL DEPARTURES FROM THE ISLAND,,8,,0,,0,,0,,0,,0,,8,
