PLACE/LOCATION,,LESVOS,,CHIOS,,SAMOS,,LEROS,,KOS,,OTHER ISLANDS,,TOTAL,
,,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.
R.I.C.,,7343,3000,1454,1014,3110,648,818,860,873,816,,,13598,6338
OTHER ACCOMODATION FACILITIES,,1141,,,,,,120,120,,,,,1261,
"HELLENIC POLICE
FACILITIES",P.D.C.,101,210,,,,,,,115,500,,,216,710
,DETENTION FACILITIES,1,40,15,18,10,24,3,6,2,36,51,63,82,187
U.N.H.C.R.,,539,655,219,248,244,245,101,116,174,189,73,105,1350,1558
N.C.S.S.,,155,172,16,18,8,8,,,,,,,179,198
OTHER N.G.O.s,,93,,,,,,,,,,,,93,
MAKESHIFT CAMPS,,0,,0,,0,,0,,0,,6,,6,
MIGRANTS PRESENT ON THE ISLAND,,9373,,1704,,3372,,1042,,1164,,130,,16785,
ARRIVALS,,0,,0,,0,,0,,0,,46,,46,
TRANSPORTSTO THE MAINLAND,,0,,0,,0,,0,,0,,0,,0,
DEPARTURES(EU-TURKEY STATEMENT),,0,,0,,0,,0,,0,,0,,0,
DEPARTURES (1.0.M.),,0,,0,,0,,0,,0,,0,,0,
TOTAL DEPARTURES FROM THE ISLAND,,0,,0,,0,,0,,0,,0,,0,
