PLACE/LOCATION,,LESVOS,,CHIOS,,SAMOS,,LEROS,,KOS,,OTHER ISLANDS,,TOTAL,
,,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.
R.I.C.,,7464,3100,1908,1014,3677,648,808,860,969,816,,,14826,6438
OTHER ACCOMODATION FACILITIES,,1177,,,,,,117,120,,,,,1294,
"HELLENIC POLICE
FACILITIES",P.D.C.,103,210,,,,,,,101,500,,,204,710
,DETENTION FACILITIES,4,40,24,18,16,24,1,6,2,36,27,63,74,187
U.N.H.C.R.,,588,681,204,248,241,240,111,116,175,189,57,105,1376,1579
N.C.S.S.,,161,168,18,18,11,12,,,,,,,190,198
OTHER N.G.O.s,,90,,,,,,,,,,,,90,
MAKESHIFT CAMPS,,0,,0,,0,,0,,0,,0,,0,
MIGRANTS PRESENT ON THE ISLAND,,9587,,2154,,3945,,1037,,1247,,84,,18054,
ARRIVALS,,0,,39,,0,,0,,0,,0,,39,
TRANSPORTSTO THE MAINLAND,,55,,37,,0,,3,,3,,0,,98,
DEPARTURES(EU-TURKEY STATEMENT),,8,,1,,0,,0,,0,,0,,9,
DEPARTURES (1.0.M.),,4,,0,,0,,0,,0,,0,,4,
TOTAL DEPARTURES FROM THE ISLAND,,12,,1,,0,,0,,0,,0,,13,
