PLACE/LOCATION,,LESVOS,,CHIOS,,SAMOS,,LEROS,,KOS,,OTHER ISLANDS,,TOTAL,
,,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.
R.I.C.,,6837,3000,1442,1014,3110,648,800,860,848,816,,,13037,6338
OTHER ACCOMODATION FACILITIES,,1202,,,,,,124,120,,,,,1326,
"HELLENIC POLICE
FACILITIES",P.D.C.,102,210,,,,,,,116,500,,,218,710
,DETENTION FACILITIES,3,40,17,18,9,24,1,6,4,36,40,63,74,187
U.N.H.C.R.,,537,655,220,248,246,245,91,116,170,189,71,105,1335,1558
N.C.S.S.,,147,157,16,18,8,12,,,,,,,171,187
OTHER N.G.O.s,,396,,,,,,,,,,,,396,
MAKESHIFT CAMPS,,0,,0,,0,,0,,0,,2,,2,
MIGRANTS PRESENT ON THE ISLAND,,9224,,1695,,3373,,1016,,1138,,113,,16559,
ARRIVALS,,36,,0,,38,,0,,7,,18,,99,
TRANSPORTSTO THE MAINLAND,,0,,6,,6,,2,,3,,0,,17,
DEPARTURES(EU-TURKEY STATEMENT),,0,,0,,0,,0,,0,,0,,0,
DEPARTURES (I.O.M.),,12,,0,,19,,0,,3,,0,,34,
TOTAL DEPARTURES FROM THE ISLAND,,12,,0,,19,,0,,3,,0,,34,
