PLACE/LOCATION,,LESVOS,,CHIOS,,SAMOS,,LEROS,,KOS,,OTHER ISLANDS,,TOTAL,
,,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.
R.I.C.,,6795,3000,1460,1014,2876,648,701,860,875,816,,,12707,6338
OTHER ACCOMODATION FACILITIES,,1149,,,,,,95,120,,,,,1244,
"HELLENIC POLICE
FACILITIES",P.D.C.,130,210,,,,,,,62,500,,,192,710
,DETENTION FACILITIES,2,40,20,18,10,24,3,6,0,35,24,63,59,186
U.N.H.C.R.,,516,607,208,248,239,245,98,116,146,161,67,109,1274,1486
N.C.S.S.,,173,180,19,18,8,8,,,,,,,200,206
OTHER N.G.O.s,,84,,,,,,,,,,,,84,
MAKESHIFT CAMPS,,0,,0,,0,,0,,0,,31,,31,
MIGRANTS PRESENT ON THE ISLAND,,8849,,1707,,3133,,897,,1083,,122,,15791,
ARRIVALS,,107,,0,,0,,0,,1,,0,,108,
TRANSPORTSTO THE MAINLAND,,0,,0,,9,,4,,3,,0,,16,
DEPARTURES (EU-TURKEY STATEMENT),,0,,0,,0,,0,,0,,0,,0,
DEPARTURES (1.0.M.),,0,,0,,0,,0,,0,,0,,0,
TOTAL DEPARTURES FROM THE ISLAND,,0,,0,,0,,0,,0,,0,,0,
