PLACE/LOCATION,,LESVOS,,CHIOS,,SAMOS,,LEROS,,KOS,,OTHER ISLANDS,,TOTAL,
,,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.
R.I.C.,,6316,3000,1268,1014,2893,648,603,860,938,816,,,12018,6338
OTHER ACCOMODATION FACILITIES,,1176,,,,,,95,120,,,,,1271,
"HELLENIC POLICE
FACILITIES",P.D.C.,134,210,,,,,,,78,500,,,212,710
,DETENTION FACILITIES,2,40,14,18,16,24,2,6,1,35,38,63,73,186
U.N.H.C.R.,,560,601,207,236,228,235,102,116,145,161,62,103,1304,1452
N.C.S.S.,,176,180,16,18,12,12,,,,,,,204,210
OTHER N.G.O.s,,84,,,,,,,,,,,,84,
MAKESHIFT CAMPS,,0,,0,,0,,0,,0,,0,,0,
MIGRANTS PRESENT ON THE ISLAND,,8448,,1505,,3149,,802,,1162,,100,,15166,
ARRIVALS,,0,,36,,0,,0,,0,,0,,36,
TRANSPORTSTO THE MAINLAND,,6,,3,,0,,0,,2,,3,,14,
DEPARTURES (EU-TURKEY STATEMENT),,0,,0,,0,,0,,0,,0,,0,
DEPARTURES (1.0.M.),,0,,0,,0,,0,,0,,0,,0,
TOTAL DEPARTURES FROM THE ISLAND,,0,,0,,0,,0,,0,,0,,0,
