PLACE/LOCATION,,LESVOS,,CHIOS,,SAMOS,,LEROS,,KOS,,OTHER ISLANDS,,TOTAL,
,,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.
R.I.C.,,7427,3100,1879,1014,3532,648,752,860,1158,816,,,14748,6438
OTHER ACCOMODATION FACILITIES,,1157,,,,,,98,120,,,,,1255,
"HELLENIC POLICE
FACILITIES",P.D.C.,133,210,,,,,,,102,500,,,235,710
,DETENTION FACILITIES,16,40,22,18,16,24,5,6,2,36,24,68,85,192
U.N.H.C.R.,,614,679,219,250,223,227,99,116,161,189,68,105,1384,1566
N.C.S.S.,,164,168,17,18,11,12,,,,,,,192,198
OTHER N.G.O.s,,83,,,,,,,,,,,,83,
MAKESHIFT CAMPS,,0,,0,,0,,0,,0,,0,,0,
MIGRANTS PRESENT ON THE ISLAND,,9594,,2137,,3782,,954,,1423,,92,,17982,
ARRIVALS,,22,,0,,0,,0,,55,,5,,82,
TRANSPORTSTO THE MAINLAND,,184,,8,,32,,0,,20,,2,,246,
DEPARTURES(EU-TURKEY STATEMENT),,0,,0,,0,,0,,0,,0,,0,
DEPARTURES (1.0.M.),,0,,0,,0,,0,,0,,0,,0,
TOTAL DEPARTURES FROM THE ISLAND,,0,,0,,0,,0,,0,,0,,0,
