PLACE/LOCATION,,LESVOS,,CHIOS,,SAMOS,,LEROS,,KOS,,OTHER ISLANDS,,TOTAL,
,,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.
R.I.C.,,7585,3100,1954,1014,3592,648,802,860,979,816,,,14912,6438
OTHER ACCOMODATION FACILITIES,,1211,,,,,,116,120,,,,,1327,
"HELLENIC POLICE
FACILITIES",P.D.C.,109,210,,,,,,,96,500,,,205,710
,DETENTION FACILITIES,10,40,22,18,18,24,1,6,0,36,23,63,74,187
U.N.H.C.R.,,590,681,209,244,239,240,111,116,171,189,60,105,1380,1575
N.C.S.S.,,161,168,18,18,11,12,,,,,,,190,198
OTHER N.G.O.s,,80,,,,,,,,,,,,80,
MAKESHIFT CAMPS,,0,,0,,0,,0,,0,,0,,0,
MIGRANTS PRESENT ON THE ISLAND,,9746,,2203,,3860,,1030,,1246,,83,,18168,
ARRIVALS,,26,,0,,0,,0,,9,,0,,35,
TRANSPORTSTO THE MAINLAND,,52,,5,,14,,1,,0,,8,,80,
DEPARTURES(EU-TURKEY STATEMENT),,0,,0,,0,,0,,0,,0,,0,
DEPARTURES (1.0.M.),,0,,0,,0,,0,,0,,6,,6,
TOTAL DEPARTURES FROM THE ISLAND,,0,,0,,0,,0,,0,,6,,6,
