PLACE/LOCATION,,LESVOS,,CHIOS,,SAMOS,,LEROS,,KOS,,OTHER ISLANDS,,TOTAL,
,,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.
R.I.C.,,5832,3000,1234,1014,2679,648,642,860,896,816,,,11283,6338
OTHER ACCOMODATION FACILITIES,,1217,,,,,,89,120,,,,,1306,
"HELLENIC POLICE
FACILITIES",P.D.C.,128,210,,,,,,,67,500,,,195,710
,DETENTION FACILITIES,4,40,13,18,11,24,4,6,1,35,26,63,59,186
U.N.H.C.R.,,538,599,201,259,221,235,102,116,135,161,61,99,1258,1469
N.C.S.S.,,175,180,16,18,10,10,,,,,,,201,208
OTHER N.G.O.s,,84,,,,,,,,,,,,84,
MAKESHIFT CAMPS,,0,,0,,0,,0,,0,,0,,0,
MIGRANTS PRESENT ON THE ISLAND,,7978,,1464,,2921,,837,,1099,,87,,14386,
ARRIVALS,,63,,0,,111,,0,,0,,7,,181,
TRANSPORTSTO THE MAINLAND,,4,,0,,0,,0,,0,,0,,4,
DEPARTURES (EU-TURKEY STATEMENT),,0,,0,,0,,0,,0,,0,,0,
DEPARTURES (1.0.M.),,0,,0,,0,,0,,0,,0,,0,
TOTAL DEPARTURES FROM THE ISLAND,,0,,0,,0,,0,,0,,0,,0,
