PLACE/LOCATION,,LESVOS,,CHIOS,,SAMOS,,LEROS,,KOS,,OTHER ISLANDS,,TOTAL,
,,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.
R.I.C.,,7296,3000,1454,1014,3110,648,798,860,868,816,,,13526,6338
OTHER ACCOMODATION FACILITIES,,1141,,,,,,120,120,,,,,1261,
"HELLENIC POLICE
FACILITIES",P.D.C.,103,210,,,,,,,115,500,,,218,710
,DETENTION FACILITIES,1,40,15,18,10,24,1,6,5,36,41,63,73,187
U.N.H.C.R.,,539,655,219,248,244,245,101,116,174,189,73,105,1350,1558
N.C.S.S.,,155,172,16,18,8,8,,,,,,,179,198
OTHER N.G.O.s,,93,,,,,,,,,,,,93,
MAKESHIFT CAMPS,,0,,0,,0,,0,,0,,6,,6,
MIGRANTS PRESENT ON THE ISLAND,,9328,,1704,,3372,,1020,,1162,,120,,16706,
ARRIVALS,,47,,0,,34,,0,,0,,0,,81,
TRANSPORTSTO THE MAINLAND,,0,,0,,0,,0,,0,,0,,0,
DEPARTURES(EU-TURKEY STATEMENT),,0,,0,,0,,0,,0,,0,,0,
DEPARTURES (1.0.M.),,0,,0,,0,,0,,0,,0,,0,
TOTAL DEPARTURES FROM THE ISLAND,,0,,0,,0,,0,,0,,0,,0,
