PLACE/LOCATION,,LESVOS,,CHIOS,,SAMOS,,LEROS,,KOS,,OTHER ISLANDS,,TOTAL,
,,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.
R.I.C.,,6688,3000,1460,1014,2876,648,701,860,863,816,,,12588,6338
OTHER ACCOMODATION FACILITIES,,1149,,,,,,95,120,,,,,1244,
"HELLENIC POLICE
FACILITIES",P.D.C.,126,210,,,,,,,63,500,,,189,710
,DETENTION FACILITIES,2,40,20,18,10,24,3,6,1,35,26,66,62,189
U.N.H.C.R.,,516,607,208,248,239,245,98,116,146,161,67,109,1274,1486
N.C.S.S.,,173,180,19,18,8,8,,,,,,,200,206
OTHER N.G.O.s,,84,,,,,,,,,,,,84,
MAKESHIFT CAMPS,,0,,0,,0,,0,,0,,31,,31,
MIGRANTS PRESENT ON THE ISLAND,,8738,,1707,,3133,,897,,1073,,124,,15672,
ARRIVALS,,45,,33,,0,,0,,12,,0,,90,
TRANSPORTSTO THE MAINLAND,,13,,17,,0,,0,,10,,0,,40,
DEPARTURES (EU-TURKEY STATEMENT),,0,,0,,0,,0,,0,,0,,0,
DEPARTURES (1.0.M.),,0,,5,,0,,0,,0,,0,,5,
TOTAL DEPARTURES FROM THE ISLAND,,0,,5,,0,,0,,0,,0,,5,
