PLACE/LOCATION,,LESVOS,,CHIOS,,SAMOS,,LEROS,,KOS,,OTHER ISLANDS,,TOTAL,
,,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.
R.I.C.,,6951,3000,1533,1014,3276,648,800,860,851,816,,,13411,6338
OTHER ACCOMODATION FACILITIES,,1207,,,,,,124,120,,,,,1331,
"HELLENIC POLICE
FACILITIES",P.D.C.,102,210,,,,,,,115,500,,,217,710
,DETENTION FACILITIES,5,40,18,18,5,24,0,6,0,36,40,63,68,187
U.N.H.C.R.,,574,661,208,248,259,245,85,116,170,189,75,105,1371,1564
N.C.S.S.,,151,158,16,18,6,12,,,,,,,173,188
OTHER N.G.O.s,,342,,,,,,,,,,,,342,
MAKESHIFT CAMPS,,0,,0,,0,,0,,0,,24,,24,
MIGRANTS PRESENT ON THE ISLAND,,9332,,1775,,3546,,1009,,1136,,139,,16937,
ARRIVALS,,44,,36,,41,,0,,0,,0,,121,
TRANSPORTSTO THE MAINLAND,,6,,14,,0,,3,,0,,0,,23,
DEPARTURES(EU-TURKEY STATEMENT),,0,,0,,0,,0,,0,,0,,0,
DEPARTURES (1.0.M.),,0,,0,,0,,0,,0,,0,,0,
TOTAL DEPARTURES FROM THE ISLAND,,0,,0,,0,,0,,0,,0,,0,
