PLACE/LOCATION,,LESVOS,,CHIOS,,SAMOS,,LEROS,,KOS,,OTHER ISLANDS,,TOTAL,
,,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.
R.I.C.,,8912,3100,2275,1014,4057,648,673,860,1308,816,,,17225,6438
OTHER ACCOMODATION FACILITIES,,1185,,,,,,90,120,,,,,1275,
"HELLENIC POLICE
FACILITIES",P.D.C.,103,210,,,,,,,149,500,,,252,710
,DETENTION FACILITIES,3,40,17,18,13,24,6,6,3,36,7,63,49,187
U.N.H.C.R.,,618,677,208,250,201,227,84,116,153,189,60,105,1324,1564
N.C.S.S.,,145,158,17,18,11,12,,,,,,,173,188
OTHER N.G.O.s,,87,,,,,,,,,,,,87,
MAKESHIFT CAMPS,,0,,0,,0,,0,,0,,44,,44,
MIGRANTS PRESENT ON THE ISLAND,,11053,,2517,,4282,,853,,1613,,111,,20429,
ARRIVALS,,324,,30,,42,,0,,21,,0,,417,
TRANSPORTSTO THE MAINLAND,,46,,4,,3,,0,,4,,7,,64,
DEPARTURES(EU-TURKEY STATEMENT),,0,,0,,0,,0,,0,,0,,0,
DEPARTURES (1.0.M.),,0,,0,,0,,0,,0,,0,,0,
TOTAL DEPARTURES FROM THE ISLAND,,0,,0,,0,,0,,0,,0,,0,
