PLACE/LOCATION,,LESVOS,,CHIOS,,SAMOS,,LEROS,,KOS,,OTHER ISLANDS,,TOTAL,
,,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.
R.I.C.,,7524,3100,1881,1014,3530,648,757,860,1155,816,,,14847,6438
OTHER ACCOMODATION FACILITIES,,1193,,,,,,98,120,,,,,1291,
"HELLENIC POLICE
FACILITIES",P.D.C.,130,210,,,,,,,101,500,,,231,710
,DETENTION FACILITIES,12,40,20,18,17,24,4,6,0,36,24,68,77,192
U.N.H.C.R.,,608,677,226,250,223,227,103,116,161,189,68,105,1389,1564
N.C.S.S.,,164,168,17,18,11,12,,,,,,,192,198
OTHER N.G.O.s,,83,,,,,,,,,,,,83,
MAKESHIFT CAMPS,,0,,0,,0,,0,,0,,0,,0,
MIGRANTS PRESENT ON THE ISLAND,,9714,,2144,,3781,,962,,1417,,92,,18110,
ARRIVALS,,112,,0,,0,,0,,0,,1,,113,
TRANSPORTSTO THE MAINLAND,,0,,14,,3,,7,,0,,1,,25,
DEPARTURES(EU-TURKEY STATEMENT),,3,,0,,1,,0,,1,,0,,5,
DEPARTURES (1.0.M.),,0,,2,,0,,0,,0,,0,,2,
TOTAL DEPARTURES FROM THE ISLAND,,3,,2,,1,,0,,1,,0,,7,
