PLACE/LOCATION,,LESVOS,,CHIOS,,SAMOS,,LEROS,,KOS,,OTHER ISLANDS,,TOTAL,
,,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.
R.I.C.,,7054,3000,1475,1014,3171,648,802,860,863,816,,,13365,6338
OTHER ACCOMODATION FACILITIES,,1217,,,,,,124,120,,,,,1341,
"HELLENIC POLICE
FACILITIES",P.D.C.,100,210,,,,,,,114,500,,,214,710
,DETENTION FACILITIES,3,40,22,18,14,24,0,6,3,36,37,63,79,187
U.N.H.C.R.,,558,661,221,248,234,245,81,116,169,189,75,105,1338,1564
N.C.S.S.,,151,158,16,18,6,12,,,,,,,173,188
OTHER N.G.O.s,,337,,,,,,,,,,,,337,
MAKESHIFT CAMPS,,0,,0,,0,,0,,0,,0,,0,
MIGRANTS PRESENT ON THE ISLAND,,9420,,1734,,3425,,1007,,1149,,112,,16847,
ARRIVALS,,71,,0,,0,,0,,0,,4,,75,
TRANSPORTSTO THE MAINLAND,,0,,5,,4,,7,,0,,1,,17,
DEPARTURES(EU-TURKEY STATEMENT),,0,,0,,0,,0,,0,,0,,0,
DEPARTURES (1.0.M.),,4,,0,,0,,3,,0,,0,,7,
TOTAL DEPARTURES FROM THE ISLAND,,4,,0,,0,,3,,0,,0,,7,
