PLACE/LOCATION,,LESVOS,,CHIOS,,SAMOS,,LEROS,,KOS,,OTHER ISLANDS,,TOTAL,
,,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.
R.I.C.,,6935,3000,1442,1014,3138,648,804,860,844,816,,,13163,6338
OTHER ACCOMODATION FACILITIES,,1202,,,,,,124,120,,,,,1326,
"HELLENIC POLICE
FACILITIES",P.D.C.,107,210,,,,,,,116,500,,,223,710
,DETENTION FACILITIES,4,40,23,18,8,24,1,6,2,36,52,63,90,187
U.N.H.C.R.,,551,661,220,248,252,245,91,116,168,189,71,105,1353,1564
N.C.S.S.,,147,157,16,18,8,12,,,,,,,171,187
OTHER N.G.O.s,,396,,,,,,,,,,,,396,
MAKESHIFT CAMPS,,0,,0,,0,,0,,0,,0,,0,
MIGRANTS PRESENT ON THE ISLAND,,9342,,1701,,3406,,1020,,1130,,123,,16722,
ARRIVALS,,51,,0,,0,,0,,3,,2,,56,
TRANSPORTSTO THE MAINLAND,,4,,6,,37,,4,,1,,4,,56,
DEPARTURES(EU-TURKEY STATEMENT),,0,,0,,0,,0,,0,,0,,0,
DEPARTURES (1.0.M.),,0,,0,,0,,0,,0,,0,,0,
TOTAL DEPARTURES FROM THE ISLAND,,0,,0,,0,,0,,0,,0,,0,
