PLACE/LOCATION,,LESVOS,,CHIOS,,SAMOS,,LEROS,,KOS,,OTHER ISLANDS,,TOTAL,
,,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.
R.I.C.,,7562,3100,2099,1014,3537,648,803,860,961,816,,,14962,6438
OTHER ACCOMODATION FACILITIES,,1211,,,,,,111,120,,,,,1322,
"HELLENIC POLICE
FACILITIES",P.D.C.,118,210,,,,,,,102,500,,,220,710
,DETENTION FACILITIES,3,40,15,18,20,24,1,6,0,36,46,68,85,192
U.N.H.C.R.,,602,681,195,244,227,240,111,116,154,189,61,105,1350,1575
N.C.S.S.,,159,168,18,18,11,12,,,,,,,188,198
OTHER N.G.O.s,,80,,,,,,,,,,,,80,
MAKESHIFT CAMPS,,0,,0,,0,,0,,0,,0,,0,
MIGRANTS PRESENT ON THE ISLAND,,9735,,2327,,3795,,1026,,1217,,107,,18207,
ARRIVALS,,60,,7,,3,,21,,4,,0,,95,
TRANSPORTSTO THE MAINLAND,,21,,12,,1,,0,,0,,0,,34,
DEPARTURES(EU-TURKEY STATEMENT),,0,,0,,0,,0,,0,,0,,0,
DEPARTURES (1.0.M.),,0,,0,,0,,0,,0,,0,,0,
TOTAL DEPARTURES FROM THE ISLAND,,0,,0,,0,,0,,0,,0,,0,
