PLACE/LOCATION,,LESVOS,,CHIOS,,SAMOS,,LEROS,,KOS,,OTHER ISLANDS,,TOTAL,
,,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.
R.I.C.,,8133,3100,2122,1014,3751,648,728,860,1233,816,,,15967,6438
OTHER ACCOMODATION FACILITIES,,1198,,,,,,90,120,,,,,1288,
"HELLENIC POLICE
FACILITIES",P.D.C.,121,210,,,,,,,75,500,,,196,710
,DETENTION FACILITIES,6,40,18,18,8,24,3,6,3,36,27,73,65,197
U.N.H.C.R.,,624,677,221,250,212,227,91,116,162,189,67,105,1377,1564
N.C.S.S.,,164,160,18,18,11,12,,,,,,,193,190
OTHER N.G.O.s,,87,,,,,,,,,,,,87,
MAKESHIFT CAMPS,,0,,0,,0,,0,,0,,0,,0,
MIGRANTS PRESENT ON THE ISLAND,,10333,,2379,,3982,,912,,1473,,94,,19173,
ARRIVALS,,0,,0,,31,,0,,18,,0,,49,
TRANSPORTSTO THE MAINLAND,,33,,7,,0,,0,,0,,0,,40,
DEPARTURES(EU-TURKEY STATEMENT),,0,,0,,0,,0,,0,,0,,0,
DEPARTURES (1.0.M.),,0,,0,,0,,0,,0,,0,,0,
TOTAL DEPARTURES FROM THE ISLAND,,0,,0,,0,,0,,0,,0,,0,
