PLACE/LOCATION,,LESVOS,,CHIOS,,SAMOS,,LEROS,,KOS,,OTHER ISLANDS,,TOTAL,
,,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.
R.I.C.,,7650,3100,1977,1014,3580,648,757,860,1155,816,,,15119,6438
OTHER ACCOMODATION FACILITIES,,1193,,,,,,98,120,,,,,1291,
"HELLENIC POLICE
FACILITIES",P.D.C.,126,210,,,,,,,100,500,,,226,710
,DETENTION FACILITIES,11,40,27,18,16,24,4,6,2,36,28,70,88,194
U.N.H.C.R.,,618,677,226,250,218,227,103,116,163,189,68,105,1396,1564
N.C.S.S.,,164,168,17,18,11,12,,,,,,,192,198
OTHER N.G.O.s,,83,,,,,,,,,,,,83,
MAKESHIFT CAMPS,,0,,0,,0,,0,,0,,0,,0,
MIGRANTS PRESENT ON THE ISLAND,,9845,,2247,,3825,,962,,1420,,96,,18395,
ARRIVALS,,27,,107,,50,,0,,0,,0,,184,
TRANSPORTSTO THE MAINLAND,,64,,21,,0,,0,,0,,0,,85,
DEPARTURES(EU-TURKEY STATEMENT),,2,,0,,0,,0,,1,,0,,3,
DEPARTURES (1.0.M.),,0,,0,,0,,0,,0,,0,,0,
TOTAL DEPARTURES FROM THE ISLAND,,2,,0,,0,,0,,1,,0,,3,
