PLACE/LOCATION,,LESVOS,,CHIOS,,SAMOS,,LEROS,,KOS,,OTHER ISLANDS,,TOTAL,
,,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.
R.I.C.,,6429,3000,1326,1014,2984,648,603,860,938,816,,,12280,6338
OTHER ACCOMODATION FACILITIES,,1176,,,,,,95,120,,,,,1271,
"HELLENIC POLICE
FACILITIES",P.D.C.,134,210,,,,,,,78,500,,,212,710
,DETENTION FACILITIES,2,40,15,18,16,24,2,6,0,35,40,63,75,186
U.N.H.C.R.,,560,601,207,236,228,235,102,116,145,161,62,103,1304,1452
N.C.S.S.,,176,180,16,18,12,12,,,,,,,204,210
OTHER N.G.O.s,,84,,,,,,,,,,,,84,
MAKESHIFT CAMPS,,0,,0,,0,,0,,0,,0,,0,
MIGRANTS PRESENT ON THE ISLAND,,8561,,1564,,3240,,802,,1161,,102,,15430,
ARRIVALS,,112,,58,,38,,0,,0,,56,,264,
TRANSPORTSTO THE MAINLAND,,3,,0,,2,,0,,0,,0,,5,
DEPARTURES (EU-TURKEY STATEMENT),,0,,0,,0,,0,,0,,0,,0,
DEPARTURES (1.0.M.),,0,,0,,0,,0,,0,,0,,0,
TOTAL DEPARTURES FROM THE ISLAND,,0,,0,,0,,0,,0,,0,,0,
