PLACE/LOCATION,,LESVOS,,CHIOS,,SAMOS,,LEROS,,KOS,,OTHER ISLANDS,,TOTAL,
,,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.,OCC.,CAP.
R.I.C.,,7580,3100,1881,1014,3530,648,757,860,1155,816,,,14903,6438
OTHER ACCOMODATION FACILITIES,,1193,,,,,,98,120,,,,,1291,
"HELLENIC POLICE
FACILITIES",P.D.C.,130,210,,,,,,,101,500,,,231,710
,DETENTION FACILITIES,12,40,20,18,17,24,4,6,2,36,28,70,83,194
U.N.H.C.R.,,608,677,226,250,223,227,103,116,161,189,68,105,1389,1564
N.C.S.S.,,164,168,17,18,11,12,,,,,,,192,198
OTHER N.G.O.s,,83,,,,,,,,,,,,83,
MAKESHIFT CAMPS,,0,,0,,0,,0,,0,,0,,0,
MIGRANTS PRESENT ON THE ISLAND,,9770,,2144,,3781,,962,,1419,,96,,18172,
ARRIVALS,,192,,0,,0,,0,,0,,0,,192,
TRANSPORTSTO THE MAINLAND,,2,,5,,1,,0,,0,,14,,22,
DEPARTURES(EU-TURKEY STATEMENT),,0,,0,,0,,0,,0,,0,,0,
DEPARTURES (1.0.M.),,0,,0,,0,,0,,0,,0,,0,
TOTAL DEPARTURES FROM THE ISLAND,,0,,0,,0,,0,,0,,0,,0,
